Il nome della rosa,"Il romanzo è ambientato nel 1327, in un'abbazia benedettina situata in una valle tra le montagne dell'Italia settentrionale.",Umberto Eco,1980,9788845222777,20,Editrice La nave di Teseo
1984,"Il romanzo è ambientato in un futuro distopico in cui il mondo è diviso in tre superpotenze in perenne conflitto tra loro.",George Orwell,1949,9788806227734,15,Feltrinelli Editore
Il signore degli anelli,"Un romanzo di genere fantasy che segue le avventure di Frodo Baggins, un hobbit che deve distruggere un potente anello magico.",J.R.R. Tolkien,1954,9788804668235,25,Bompiani
Cronache del ghiaccio e del fuoco,"Una saga fantasy che segue le vicende di molteplici personaggi in un mondo immaginario caratterizzato da guerre e intrighi politici.",George R.R. Martin,1996,9788804516106,30,Mondadori
Il piccolo principe,"Una fiaba che narra l'incontro tra un aviatore e un piccolo principe extraterrestre che abita su un asteroide.",Antoine de Saint-Exupéry,1943,9788804668035,10,Adelphi
Don Chisciotte,"La storia del nobile Alonso Quixano che, impazzito per la lettura di libri cavallereschi, decide di diventare un cavaliere errante.",Miguel de Cervantes,1605,9788811647101,18,Einaudi
La metamorfosi,"La storia di Gregor Samsa, un commesso viaggiatore che si sveglia un mattino trasformato in un enorme scarafaggio.",Franz Kafka,1915,9788804494732,12,Giunti Editore
Il processo,"La storia di Josef K., un funzionario che viene arrestato senza motivo apparente e che cerca di scoprire il motivo della sua incarcerazione.",Franz Kafka,1925,9788806228229,14,Mondadori 
Moby Dick,"La storia del capitano Ahab e della sua ossessione per la caccia alla balena bianca Moby Dick.",Herman Melville,1851,9788845903725,22,Feltrinelli Editore 
Guerra e pace,"Il romanzo segue le vicende di molteplici personaggi durante la guerra tra la Russia e la Francia.",Lev Tolstoj,1869,9788806226874,28,Mondadori
